id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
233465,27168,YWDH,4508,98,ASP,1,0,04,-25.414499282836914,142.66299438476562,430,50,,22,-25.4064998626709,142.6739959716797,433,230,
233466,27001,YGYM,1955,98,CLA,0,0,03,,,,36,,21,,,,216,
233467,27001,YGYM,4600,59,ASP,0,0,14,-26.28468,152.699316,,148,,32,-26.294669,152.706118,,328,
233468,26933,YBTI,4823,98,ASP,1,0,15,-11.758999824523926,130.61199951171875,34,150,,33,-11.770500183105469,130.61900329589844,64,330,
233469,26907,YBDV,3937,59,CLA,1,0,03,-25.903900146484375,139.34300231933594,150,40,,21,-25.89550018310547,139.3509979248047,148,220,
233470,26907,YBDV,5682,98,ASP,1,0,14,-25.88520050048828,139.34100341796875,159,149,,32,-25.89859962463379,139.35000610351562,152,329,
233471,26949,YCDO,4501,98,ASP,1,0,01,-33.0702018737793,147.21099853515625,632,25,,19,-33.05889892578125,147.2169952392578,650,205,
233472,26949,YCDO,3947,98,GRE,0,0,10,-33.0629997253418,147.1999969482422,635,105,,28,-33.065799713134766,147.21200561523438,634,285,
233475,26924,YBPN,3609,98,ASP,1,1,06,-20.493299,148.557007,70,67,,24,-20.4895,148.565994,77,247,
233476,26924,YBPN,6801,148,ASP,1,0,11,-20.49049949645996,148.54400634765625,58,115,,29,-20.498300552368164,148.56300354003906,47,295,
233477,27174,YWLG,5335,98,ASP,1,0,05,-30.03730010986328,148.1179962158203,439,58,,23,-30.029600143432617,148.13299560546875,439,238,
233478,27174,YWLG,3783,98,GRS,1,0,18,-30.026599884033203,148.12600708007812,438,191,,36,-30.03689956665039,148.12399291992188,438,11,
233479,26991,YGEL,7838,148,ASP,1,0,03,-28.804500579833984,114.7030029296875,98,18,,21,-28.787500381469727,114.70999908447266,120,198,
233480,26991,YGEL,2953,59,GVL,0,0,08,-28.788000106811523,114.69999694824219,113,80,,26,-28.786500930786133,114.70899963378906,121,260,
233481,26991,YGEL,2769,59,ASP,0,0,14,-28.78809928894043,114.69999694824219,112,143,,32,-28.794099807739258,114.70600128173828,110,323,
